867.88,36.64,60.52,47.8,43.66,38.04,33.725,21.55,26.02,16.54,16.9,5,12.76,13.8,12.525,6.64,8.1,4.58,8.48,1e-012,0.4,14.72,6.86,0.32,0.4,4.02,1e-012,1e-012,0.82,0.04,1e-012
871.19,23.98,58.32,36.36,36.22,47.32,26.525,15.6,14.7,14.78,8,3.8,19.38,3.125,21.45,3.22,2.35,3.06,0.28,0.36,1e-012,0.24,0.28,1.1,6.42,1e-012,2.75,0.3,0.24,1e-012,1e-012
874.5,67.16,72.6,44.5,73.56,39.08,43.625,28.35,20.38,27.96,23.05,16.56,15.4,24.375,30.025,10.76,13.35,16.46,10.24,4.68,0.05,9.28,0.48,0.88,1e-012,3.34,0.975,0.275,1e-012,1e-012,1e-012
877.82,47.74,71.46,58.7,59.06,40.98,38.425,28.225,14.24,19,14.2,19.6,10.9,8.825,22.25,11.56,8.35,3.48,3.56,2.82,1.45,2,3.54,2.76,10.3,1e-012,1e-012,0.325,0.52,1e-012,1e-012
881.13,55.3,74.32,57.1,65.96,68.84,75.7,37.95,22.9,19.7,18.25,18.82,22.2,33.375,35.9,23.48,25.775,13.88,9.14,10.78,1e-012,19.08,8.46,6.68,1.2,0.24,3.85,4.25,0.02,1e-012,1e-012
884.44,57.1,65.76,80.28,62.98,61.38,49.325,49.15,21.22,21.9,19.8,16.72,12.28,17.075,26.6,9.64,37.525,7.56,9.04,1.06,7.95,1.84,6.94,0.12,1.16,0.06,8.6,1e-012,0.2,1e-012,1e-012
887.76,85.14,99.96,94.68,91.72,73.58,70.325,43.325,42.88,34.86,44.4,23.42,31.08,23.725,24.05,21.04,21.725,20.8,25.14,10.76,1.05,10.02,3.02,13.44,7.32,1.16,12.025,1e-012,1e-012,1e-012,0.95
891.07,57.16,103.04,106.88,87.78,83.92,64.525,45.1,25.74,26.04,22.9,21.9,16.44,31.95,22.125,14.22,46.45,8.7,12.98,11.3,6.45,10.7,2.08,6.14,10.16,3.8,1e-012,0.05,1e-012,1e-012,1e-012
894.38,97.06,121.66,107.26,132.88,108.88,98.15,61.9,34.06,28.28,31.85,26.3,25.8,51.075,27.8,21.08,27.875,28.18,22.48,14.36,18.3,2.46,11.12,11.5,4.14,4.82,6.6,1e-012,1e-012,1e-012,1e-012
897.69,62.48,105.06,112.68,129.34,110.1,82.025,55.575,38.5,18.58,21.25,10.16,36.42,33.2,36.275,16.98,19.2,23.16,21.76,0.7,1.1,8.76,22.14,13.24,2.54,4.82,0.875,1e-012,0.18,1e-012,1e-012
901,96.38,161.56,129.62,122,135.9,103.75,68.55,55.72,41.6,33.85,25.98,39.36,42.1,40.5,31.5,37.35,27.9,34.96,18.9,8.65,11.06,21.7,10.1,8.32,0.72,0.125,1e-012,0.5,1e-012,1e-012
