[SUMMARY]
Software Information
Software Name:	UVProbe
1256.0	83.664
1258.0	83.820
1260.0	83.858
1262.0	83.786
1264.0	83.725
1266.0	83.794
1268.0	83.868
1270.0	83.865
1272.0	83.780
1274.0	83.763
1276.0	83.740
1278.0	83.617
1280.0	83.534
1282.0	83.458
1284.0	83.459
1286.0	83.351
1288.0	83.150
1290.0	82.956
1292.0	82.817
1294.0	82.756
1296.0	82.584
1298.0	82.307
1300.0	82.024
1302.0	81.744
1304.0	81.483
1306.0	81.178
1308.0	80.870
1310.0	80.634
1312.0	80.266
1314.0	79.739
1316.0	79.225
1318.0	78.894
1320.0	78.473
1322.0	77.934
1324.0	77.365
1326.0	76.770
1328.0	76.140
1330.0	75.450
1332.0	74.826
1334.0	74.248
1336.0	73.659
1338.0	72.957
1340.0	72.173
1342.0	71.504
1344.0	70.970
1346.0	70.390
1348.0	69.806
1350.0	69.131
1352.0	68.504
1354.0	67.981
1356.0	67.488
1358.0	66.991
1360.0	66.341
1362.0	65.747
1364.0	65.129
1366.0	64.343
1368.0	63.573
1370.0	62.614
1372.0	61.403
1374.0	60.048
1376.0	58.342
1378.0	56.422
1380.0	54.283
1382.0	51.726
1384.0	48.860
1386.0	45.718
1388.0	42.339
1390.0	38.766
1392.0	35.112
1394.0	31.520
1396.0	28.006
1398.0	24.695
1400.0	21.774
1402.0	19.167
1404.0	16.866
1406.0	14.925
1408.0	13.284
1410.0	11.873
1412.0	10.677
1414.0	9.682
1416.0	8.900
1418.0	8.298
1420.0	7.700
1422.0	7.109
1424.0	6.683
1426.0	6.335
1428.0	6.004
1430.0	5.737
1432.0	5.475
1434.0	5.298
1436.0	5.168
1438.0	4.985
1440.0	4.880
1442.0	4.790
1444.0	4.738
1446.0	4.669
1448.0	4.597
1450.0	4.597
1452.0	4.524
1454.0	4.483
1456.0	4.468
1458.0	4.509
1460.0	4.596
1462.0	4.691
1464.0	4.839
1466.0	4.910
1468.0	5.034
1470.0	5.290
1472.0	5.534
1474.0	5.791
1476.0	6.123
1478.0	6.464
1480.0	6.773
1482.0	7.152
1484.0	7.542
1486.0	7.986
1488.0	8.485
1490.0	8.916
1492.0	9.404
1494.0	9.932
1496.0	10.451
1498.0	11.053
1500.0	11.694
1502.0	12.340
1504.0	12.985
1506.0	13.620
1508.0	14.281
1510.0	14.941
1512.0	15.652
1514.0	16.429
1516.0	17.151
1518.0	17.857
1520.0	18.628
1522.0	19.354
1524.0	20.129
1526.0	20.975
1528.0	21.747
1530.0	22.479
1532.0	23.274
1534.0	24.124
1536.0	24.934
1538.0	25.708
1540.0	26.463
1542.0	27.272
1544.0	28.044
1546.0	28.746
1548.0	29.532
1550.0	30.336
1552.0	31.061
1554.0	31.828
1556.0	32.507
1558.0	33.125
1560.0	33.902
1562.0	34.669
1564.0	35.316
1566.0	35.966
1568.0	36.697
1570.0	37.323
1572.0	37.868
1574.0	38.498
1576.0	39.136
1578.0	39.807
1580.0	40.349
1582.0	40.781
1584.0	41.313
1586.0	41.838
1588.0	42.380
1590.0	42.892
1592.0	43.311
1594.0	43.813
1596.0	44.318
1598.0	44.791
1600.0	45.161
1602.0	45.528
1604.0	45.963
1606.0	46.281
1608.0	46.634
1610.0	47.018
1612.0	47.343
1614.0	47.707
1616.0	48.053
1618.0	48.334
1620.0	48.688
1622.0	48.991
1624.0	49.295
1626.0	49.622
1628.0	49.857
1630.0	50.117
1632.0	50.346
1634.0	50.594
1636.0	50.864
1638.0	51.054
1640.0	51.189
1642.0	51.399
1644.0	51.648
1646.0	51.863
1648.0	52.162
1650.0	52.370
1652.0	52.428
1654.0	52.632
1656.0	52.826
1658.0	52.898
1660.0	53.030
1662.0	53.159
1664.0	53.159
1666.0	53.206
1668.0	53.325
1670.0	53.416
1672.0	53.584
1674.0	53.732
1676.0	53.822
1678.0	53.773
1680.0	53.778
1682.0	53.828
1684.0	53.812
1686.0	53.873
1688.0	53.864
1690.0	53.860
1692.0	53.844
1694.0	53.699
1696.0	53.842
1698.0	53.995
1700.0	53.848
1702.0	53.569
1704.0	53.337
1706.0	53.255
1708.0	53.223
1710.0	53.139
1712.0	52.925
1714.0	52.773
1716.0	52.666
1718.0	52.477
1720.0	52.200
1722.0	51.930
1724.0	51.691
1726.0	51.445
1728.0	51.170
1730.0	50.862
1732.0	50.575
1734.0	50.163
1736.0	49.783
1738.0	49.515
1740.0	49.084
1742.0	48.639
1744.0	48.215
1746.0	47.813
1748.0	47.290
1750.0	46.664
1752.0	46.176
1754.0	45.795
1756.0	45.238
1758.0	44.611
1760.0	44.162
1762.0	43.732
1764.0	43.254
1766.0	42.682
1768.0	42.174
1770.0	41.714
1772.0	41.380
1774.0	41.092
1776.0	40.784
1778.0	40.437
1780.0	40.157
1782.0	39.998
1784.0	39.783
1786.0	39.594
1788.0	39.406
1790.0	39.272
1792.0	39.265
1794.0	39.261
1796.0	39.211
1798.0	39.236
1800.0	39.232
1802.0	39.154
1804.0	39.151
1806.0	39.264
1808.0	39.377
1810.0	39.339
1812.0	39.316
1814.0	39.337
1816.0	39.288
1818.0	39.230
1820.0	39.215
1822.0	39.278
1824.0	39.218
1826.0	39.066
1828.0	38.867
1830.0	38.680
1832.0	38.551
1834.0	38.313
1836.0	37.994
1838.0	37.643
1840.0	37.126
1842.0	36.555
1844.0	35.968
1846.0	35.297
1848.0	34.622
1850.0	33.792
1852.0	32.755
1854.0	31.538
1856.0	30.214
1858.0	28.802
1860.0	27.129
1862.0	25.304
1864.0	23.344
1866.0	21.227
1868.0	19.037
1870.0	16.588
1872.0	14.172
1874.0	11.827
1876.0	9.541
1878.0	7.416
1880.0	5.537
1882.0	3.998
1884.0	2.634
1886.0	1.752
1888.0	1.105
1890.0	0.650
1892.0	0.427
1894.0	0.221
1896.0	0.096
1898.0	-0.014
1900.0	-0.024
1902.0	-0.055
1904.0	-0.027
1906.0	0.055
1908.0	0.000
1910.0	0.012
1912.0	-0.015
1914.0	-0.055
1916.0	-0.043
1918.0	0.000
1920.0	-0.002
1922.0	-0.073
1924.0	-0.072
1926.0	-0.029
1928.0	0.027
1930.0	0.000
1932.0	-0.044
1934.0	-0.131
1936.0	-0.175
1938.0	-0.044
1940.0	0.150
1942.0	0.238
1944.0	0.044
1946.0	-0.165
1948.0	-0.061
1950.0	0.000
1952.0	-0.075
1954.0	-0.046
1956.0	-0.046
1958.0	-0.017
1960.0	0.044
1962.0	-0.015
1964.0	-0.031
1966.0	-0.047
1968.0	-0.078
1970.0	-0.032
1972.0	-0.015
1974.0	-0.047
1976.0	-0.157
1978.0	-0.079
1980.0	0.063
1982.0	0.063
1984.0	0.174
1986.0	0.047
1988.0	-0.047
1990.0	-0.047
1992.0	-0.017
1994.0	0.078
1996.0	0.063
1998.0	0.095
2000.0	0.095
2002.0	0.128
2004.0	0.128
2006.0	0.111
2008.0	0.096
2010.0	0.179
2012.0	0.293
2014.0	0.131
2016.0	0.148
2018.0	0.311
2020.0	0.278
2022.0	0.214
2024.0	0.279
2026.0	0.395
2028.0	0.429
2030.0	0.395
2032.0	0.493
2034.0	0.575
2036.0	0.594
2038.0	0.726
2040.0	0.728
2042.0	0.809
